Title, Company, Location, Summary, Experience, Link 
Data Science,machine Learning, NLP, SAS, R, Mongodb,nosql,Careernet Technologies Pvt Ltd,Mumbai,At least 7 years of work experience as a data scientist;Experience with common d ata science toolkits, ...,7-11 yrs,https://www.naukri.com/job-listings-Data-Science-machine-Learning-NLP-SAS-R-Mongodb-nosql-Careernet-Technologies-Pvt-Ltd-Mumbai-7-to-11-years-060718006716?src=jobsearchDesk&sid=15311096597143&xp=1&px=1
Tomtom Hiring Machine Learning Engineers,TomTom India Private Limited society,Pune,Bachelors degree in computer science or equivalent field and must have  4 -10 years of experience ...,4-9 yrs,https://www.naukri.com/job-listings-Tomtom-Hiring-Machine-Learning-Engineers-TomTom-India-Private-Limited-society-Pune-4-to-9-years-100418004868?src=jobsearchDesk&sid=15311096597143&xp=2&px=1
Urgent Opening | Machine Learning Developer & Sr Developer | Hyderabad,Orcapod Consulting Services Private Limited,Hyderabad,JD :- 	Hands-on industry experience in developing machine learning applications;Experience in building ...,5-10 yrs,https://www.naukri.com/job-listings-Urgent-Opening-Machine-Learning-Developer-Sr-Developer-Hyderabad-Orcapod-Consulting-Services-Private-Limited-Hyderabad-5-to-10-years-070718005264?src=jobsearchDesk&sid=15311096597143&xp=3&px=1
Internet of Things & Machine Learning Internship,ESPERER ENGINEERING SERVICES,Chennai,Not Available,0-2 yrs,https://www.naukri.com/job-listings-Internet-of-Things-Machine-Learning-Internship-ESPERER-ENGINEERING-SERVICES-Chennai-0-to-2-years-070718003996?src=jobsearchDesk&sid=15311096597143&xp=4&px=1
Internship - Machine Learning / Python.,Constalytics,Mohali,Not Available,0-0 yrs,https://www.naukri.com/job-listings-Internship-Machine-Learning-Python-Constalytics-Mohali-0-to-0-years-070718001043?src=jobsearchDesk&sid=15311096597143&xp=5&px=1
Sr. Machine Learning Developer for a Leading Product Dev Software,RS Consulting,Pune,Experience of working in applied machine learning domain;Experience in working with different ...,4-9 yrs,https://www.naukri.com/job-listings-Sr-Machine-Learning-Developer-for-a-Leading-Product-Dev-Software-RS-Consulting-Pune-4-to-9-years-050718900456?src=jobsearchDesk&sid=15311096597143&xp=6&px=1
Artificial Intelligence/machine Learning Role - Blockchain - Iim/xlri,Gi Group,Delhi NCR, Mumbai, Bengaluru,- Technical knowledge on existing AI/ML platforms, Statistical tools as R, Python, Saas { atleast one ...,8-12 yrs,https://www.naukri.com/job-listings-Artificial-Intelligence-machine-Learning-Role-Blockchain-Iim-xlri-Gi-Group-Delhi-NCR-Mumbai-Bengaluru-8-to-12-years-050718900225?src=jobsearchDesk&sid=15311096597143&xp=7&px=1
Sr. Machine Learning Developer,RS Consulting,Pune,4-12 Years of experience working in applied machine learning domain;Experience in working with different ...,10-15 yrs,https://www.naukri.com/job-listings-Sr-Machine-Learning-Developer-RS-Consulting-Pune-10-to-15-years-040718901046?src=jobsearchDesk&sid=15311096597143&xp=8&px=1
Senior Scientist - Machine Learning -NLP - Text Analytics,Cross-Tab Marketing Services Pvt. Ltd.,Bengaluru,(Preferred) Expertise in using Neural Networks for complex pattern recognition;Bachelors degree with 3 ...,3-8 yrs,https://www.naukri.com/job-listings-Senior-Scientist-Machine-Learning-NLP-Text-Analytics-Cross-Tab-Marketing-Services-Pvt-Ltd-Bengaluru-3-to-8-years-040718005036?src=jobsearchDesk&sid=15311096597143&xp=9&px=1
Lead - NLP Engineer - Machine Learning/ Python,Axcelovate,Bengaluru,- Experience in implementing algorithms in existing deep learning libraries (e.g;- Ability to work in a ...,5-10 yrs,https://www.naukri.com/job-listings-Lead-NLP-Engineer-Machine-Learning-Python-Axcelovate-Bengaluru-5-to-10-years-030718900507?src=jobsearchDesk&sid=15311096597143&xp=10&px=1
